Player Name,Country,Matches Played,Innings,Not Outs,Runs,Average,Balls Faced,Strike Rate,Hundereds,Fifties
SR Tendulkar (INDIA),IND,463,452,41,18426,44.83,21367,86.23,49,96
KC Sangakkara (SL),SL,397,373,40,13975,41.96,17715,78.88,25,90
RT Ponting (AUS),AUS,374,364,39,13589,41.81,16944,80.19,29,82
ST Jayasuriya (SL),SL,441,429,18,13364,32.51,14644,91.25,28,68
DPMD Jayawardene (SL),SL,443,413,38,12381,33.01,15736,78.67,18,75
Inzamam-ul-Haq (PAK),PAK,375,348,52,11701,39.53,15769,74.2,10,83
JH Kallis (SA),SA,323,309,53,11550,45.11,15793,73.13,17,86
V Kohli (INDIA),IND,239,230,39,11520,60.31,12359,93.21,43,54
SC Ganguly (INDIA),IND,308,297,23,11221,40.95,15235,73.65,22,71
R Dravid (INDIA),IND,340,314,39,10768,39.15,15126,71.18,12,82
MS Dhoni (INDIA),IND,347,294,83,10599,50.23,12164,87.13,9,73
CH Gayle (WI),WI,298,291,17,10425,38.04,11960,87.16,25,53
BC Lara (WI),WI,295,285,32,10348,40.9,12996,79.62,19,62
TM Dilshan (SL),SL,330,303,41,10290,39.27,11933,86.23,22,47
AC Gilchrist (AUS),AUS,286,278,11,9595,35.93,9902,96.89,16,55
Mohammad Yousuf (PAK),PAK,281,267,40,9554,42.08,12753,74.91,15,62
AB de Villiers (SA),SA,223,213,39,9427,54.17,9308,101.27,25,52
Saeed Anwar (PAK),PAK,244,241,19,8806,39.66,10886,80.89,20,43
S Chanderpaul (WI),WI,268,251,40,8778,41.6,12408,70.74,11,59
RG Sharma (INDIA),IND,218,211,32,8686,48.52,9806,88.57,27,42
Yuvraj Singh (INDIA),IND,301,275,39,8609,36.47,9846,87.43,14,52
MS Atapattu (SL),SL,268,259,32,8529,37.57,12594,67.72,11,59
LRPL Taylor (NZ),NZ,228,212,37,8376,47.86,10091,83,20,50
ME Waugh (AUS),AUS,237,230,20,8369,39.85,10900,76.77,18,50
HM Amla (SA),SA,181,178,14,8113,49.46,9178,88.39,27,39
HH Gibbs (SA),SA,248,240,16,8094,36.13,9721,83.26,21,37
Shahid Afridi (PAK),PAK,393,364,27,8027,23.81,6864,116.94,6,39
SP Fleming (NZ),NZ,279,268,21,8007,32.41,11214,71.4,8,49
V Sehwag (INDIA),IND,241,235,9,7995,35.37,7655,104.44,15,37
MJ Clarke (AUS),AUS,245,223,44,7981,44.58,10104,78.98,8,58
PA de Silva (SL),SL,243,234,24,7585,36.11,9231,82.16,11,49
Shoaib Malik (PAK),PAK,287,258,40,7534,34.55,9199,81.9,9,44
Younis Khan (PAK),PAK,265,255,23,7249,31.24,9628,75.29,7,48
M Azharuddin (INDIA),IND,239,222,38,7151,38.86,9400,76.07,5,51
NJ Astle (NZ),NZ,223,217,14,7090,34.92,9760,72.64,16,41
GC Smith (SA),SA,196,193,10,6989,38.19,8643,80.86,10,47
WU Tharanga (SL),SL,234,222,17,6941,33.85,9133,75.99,15,37
MG Bevan (AUS),AUS,232,196,67,6912,53.58,9320,74.16,6,46
Tamim Iqbal (BDESH),BAN,204,202,8,6892,35.52,8865,77.74,11,47
G Kirsten (SA),SA,185,185,19,6798,40.95,9436,72.04,13,45
MJ Guptill (NZ),NZ,179,176,19,6626,42.2,7586,87.34,16,35
Mohammad Hafeez (PAK),PAK,218,216,15,6614,32.9,8633,76.61,11,38
EJG Morgan (ENG),ENG,210,194,30,6604,40.26,7015,94.14,12,41
Shakib Al Hasan (BDESH),BAN,206,194,27,6323,37.86,7641,82.75,9,47
KS Williamson (NZ),NZ,149,142,14,6132,47.9,7494,81.82,13,39
ML Hayden (AUS),AUS,160,154,15,6131,44.1,7762,78.98,10,36
Mushfiqur Rahim (BDESH),BAN,216,202,34,6100,36.3,7718,79.03,7,37
BB McCullum (NZ),NZ,260,228,28,6083,30.41,6312,96.37,5,32
JN Rhodes (SA),SA,245,220,51,5935,35.11,7336,80.9,2,33
JE Root (ENG),ENG,143,135,21,5856,51.36,6702,87.37,16,33
AD Mathews (SL),SL,214,184,48,5812,42.73,6974,83.33,3,40
RR Sarwan (WI),WI,181,169,33,5804,42.67,7663,75.74,5,38
SR Waugh (AUS),AUS,247,218,39,5775,32.26,7627,75.71,3,36
SR Watson (AUS),AUS,190,169,27,5757,40.54,6365,90.44,9,33
A Ranatunga (SL),SL,192,181,35,5705,39.07,7247,78.72,4,39
SK Raina (INDIA),IND,226,194,35,5615,35.31,6005,93.5,5,36
MN Samuels (WI),WI,207,196,26,5606,32.97,7463,75.11,10,30
WJ Cronje (SA),SA,188,175,31,5565,38.64,7277,76.47,2,39
S Dhawan (INDIA),IND,133,131,7,5518,44.5,5869,94.01,17,27
F du Plessis (SA),SA,143,136,20,5507,47.47,6215,88.6,12,35
MEK Hussey (AUS),AUS,185,157,44,5442,48.15,6243,87.16,3,39
Ijaz Ahmed (PAK),PAK,188,175,24,5421,35.9,6801,79.7,9,32
IR Bell (ENG),ENG,161,157,14,5416,37.87,7019,77.16,4,35
A Jadeja (INDIA),IND,196,179,36,5359,37.47,7677,69.8,6,30
DR Martyn (AUS),AUS,208,182,51,5346,40.8,6877,77.73,5,37
G Gambhir (INDIA),IND,147,143,11,5238,39.68,6144,85.25,11,34
Misbah-ul-Haq (PAK),PAK,162,149,31,5122,43.4,6945,73.75,0,42
JP Duminy (SA),SA,199,179,40,5117,36.81,6052,84.55,4,27
PD Collingwood (ENG),ENG,197,181,37,5092,35.36,6614,76.98,5,26
A Symonds (AUS),AUS,198,161,33,5088,39.75,5504,92.44,6,30
Abdul Razzaq (PAK),PAK,261,225,57,5031,29.94,6160,81.67,3,23
CL Hooper (WI),WI,188,174,33,5003,35.48,6455,77.5,6,26
DA Warner (AUS),AUS,116,114,5,4990,45.77,5222,95.55,17,20
Q de Kock (SA),SA,115,115,6,4907,45.01,5154,95.2,14,24
CL Cairns (NZ),NZ,214,192,25,4881,29.22,5827,83.76,4,25
Aamer Sohail (PAK),PAK,156,155,5,4780,31.86,7297,65.5,5,31
CD McMillan (NZ),NZ,197,183,16,4707,28.18,6198,75.94,3,28
AJ Finch (AUS),AUS,119,115,2,4559,40.34,5093,89.51,15,24
AJ Stewart (ENG),ENG,164,156,13,4557,31.86,6653,68.49,4,27
MV Boucher (SA),SA,290,216,57,4523,28.44,5342,84.66,1,25
SB Styris (NZ),NZ,188,161,23,4483,32.48,5645,79.41,4,28
KP Pietersen (ENG),ENG,134,123,16,4422,41.32,5100,86.7,9,25
Saleem Malik (PAK),PAK,181,162,26,4396,32.32,6176,71.17,1,31
CZ Harris (NZ),NZ,250,213,62,4379,29,6583,66.51,1,16
ME Trescothick (ENG),ENG,123,122,6,4335,37.37,5087,85.21,12,21
RS Mahanama (SL),SL,174,160,22,4257,30.84,6898,61.71,4,28
AJ Strauss (ENG),ENG,127,126,8,4205,35.63,5195,80.94,6,27
Mahmudullah (BDESH),BAN,185,160,42,3994,33.84,5222,76.48,3,21
RP Arnold (SL),SL,180,155,43,3950,35.26,5443,72.57,1,28
DJ Cullinan (SA),SA,138,133,16,3860,32.99,5492,70.28,3,23
GA Hick (ENG),ENG,120,118,15,3846,37.33,5191,74.08,5,27
JC Buttler (ENG),ENG,142,117,23,3843,40.88,3207,119.83,9,20
SPD Smith (AUS),AUS,118,104,12,3810,41.41,4414,86.31,8,23
RS Kaluwitharana (SL),SL,189,181,14,3711,22.22,4776,77.7,2,23
NV Knight (ENG),ENG,100,100,10,3637,40.41,5085,71.52,5,25
LD Chandimal (SL),SL,146,132,21,3599,32.42,4855,74.12,4,22
L Klusener (SA),SA,171,137,50,3576,41.1,3977,89.91,2,19
HP Tillakaratne (SL),SL,186,155,35,3572,29.76,6179,57.8,2,12
MA Taylor (AUS),AUS,113,110,1,3514,32.23,5909,59.46,1,28
Mohammad Ashraful (BDESH),BAN,175,168,13,3468,22.37,4946,70.11,3,20
DC Boon (AUS),AUS,102,100,16,3388,40.33,5346,63.37,3,22
JJ Roy (ENG),ENG,84,81,2,3381,42.79,3148,107.4,9,18
Babar Azam (PAK),PAK,74,72,10,3359,54.17,3857,87.08,11,15
AC Parore (NZ),NZ,179,161,32,3314,25.68,4867,68.09,1,14
HH Dippenaar (SA),SA,101,89,14,3300,44,4887,67.52,4,25
A Flintoff (ENG),ENG,138,119,16,3293,31.97,3694,89.14,3,18
NS Sidhu (INDIA),IND,107,100,7,3273,35.19,4760,68.76,5,21
Moin Khan (PAK),PAK,219,183,41,3266,23,4017,81.3,0,12
Kamran Akmal (PAK),PAK,157,138,14,3236,26.09,3855,83.94,5,10
Wasim Akram (PAK),PAK,274,224,44,3226,17.92,3713,86.88,0,6
AN Cook (ENG),ENG,92,92,4,3204,36.4,4154,77.13,5,19
HDRL Thirimanne (SL),SL,127,106,14,3194,34.71,4419,72.27,4,21
Umar Akmal (PAK),PAK,121,110,17,3194,34.34,3712,86.04,2,20
SM Pollock (SA),SA,294,196,70,3193,25.34,3732,85.55,0,13
BJ Haddin (AUS),AUS,126,115,16,3122,31.53,3706,84.24,2,16
DM Jones (AUS),AUS,82,80,11,3109,45.05,4423,70.29,4,24
DS Lehmann (AUS),AUS,117,101,22,3078,38.96,3784,81.34,4,17
DA Miller (SA),SA,126,110,31,3058,38.7,3054,100.13,5,12
GJ Bailey (AUS),AUS,90,85,10,3044,40.58,3645,83.51,3,22
Rameez Raja (PAK),PAK,103,103,10,3035,32.63,4876,62.24,7,12
AP Gurusinha (SL),SL,113,109,4,3006,28.62,4767,63.05,2,15
DJ Bravo (WI),WI,164,141,24,2968,25.36,3606,82.3,2,10
AM Rahane (INDIA),IND,90,87,3,2962,35.26,3767,78.63,3,24
PV Simmons (WI),WI,118,113,10,2888,28.03,4344,66.48,4,13
WW Hinds (WI),WI,119,111,10,2880,28.51,4393,65.55,5,14
GJ Maxwell (AUS),AUS,110,100,11,2877,32.32,2332,123.37,1,19
JM Bairstow (ENG),ENG,74,68,8,2861,47.68,2749,104.07,9,11
DM Bravo (WI),WI,110,105,13,2839,30.85,4045,70.18,3,18
IJL Trott (ENG),ENG,68,65,10,2819,51.25,3658,77.06,4,22
SD Hope (WI),WI,69,64,9,2785,50.63,3760,74.06,7,14
Mohammad Nabi (AFG),AFG,124,112,12,2782,27.82,3252,85.54,1,15
SE Marsh (AUS),AUS,73,72,4,2773,40.77,3406,81.41,7,15
M Kaif (INDIA),IND,125,110,24,2753,32.01,3822,72.03,2,17
MDKJ Perera (SL),SL,98,93,5,2739,31.12,2945,93,5,14
Mohammad Shahzad (AFG),AFG,84,84,3,2727,33.66,3082,88.48,6,14
Salman Butt (PAK),PAK,78,78,4,2725,36.82,3572,76.28,8,14
RB Richardson (WI),WI,104,99,14,2718,31.97,4085,66.53,3,16
RG Twose (NZ),NZ,87,81,11,2717,38.81,3603,75.4,1,20
RS Bopara (ENG),ENG,120,109,21,2695,30.62,3462,77.84,1,14
BA Stokes (ENG),ENG,95,81,15,2682,40.63,2855,93.94,3,20
Ahmed Shehzad (PAK),PAK,81,81,1,2605,32.56,3614,72.08,6,14
AC Hudson (SA),SA,89,88,1,2559,29.41,3960,64.62,2,18
TWM Latham (NZ),NZ,95,88,9,2550,32.27,3096,82.36,4,15
VG Kambli (INDIA),IND,104,97,21,2477,32.59,3443,71.94,2,14
JDP Oram (NZ),NZ,160,116,15,2434,24.09,2810,86.61,1,13
Imrul Kayes (BDESH),BAN,78,78,2,2434,32.02,3423,71.1,4,16
AD Hales (ENG),ENG,70,67,3,2419,37.79,2527,95.72,6,14
L Vincent (NZ),NZ,102,99,10,2413,27.11,3453,69.88,3,11
GP Thorpe (ENG),ENG,82,77,13,2380,37.18,3344,71.17,0,21
Rahmat Shah (AFG),AFG,73,69,2,2359,35.2,3366,70.08,4,16
Asghar Afghan (AFG),AFG,111,105,9,2356,24.54,3531,66.72,1,12
